name,discountPrice,oldPrice,discount,image,rating,category,merchant
Studio Microphone Pop Filter Windscreen Mic Sound Shield,"₦ 4,950","₦ 9,500",48%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/323317/1.jpg?7565,3.9 out of 5(21),microphones,not available
Studio Microphone Pop Filter Windscreen Mic Sound Shield,"₦ 4,950","₦ 8,000",38%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/23/950317/1.jpg?7354,4.6 out of 5(34),microphones,not available
"Microphone Gooseneck Wired Conference Microphone:Clear Sound,Low Noise,Suitable For Large Conferences,Speeches","₦ 8,999","₦ 15,000",40%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/939346/1.jpg?8508,5 out of 5(1),microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 8,500","₦ 17,500",51%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/561766/1.jpg?1606,5 out of 5(1),microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 8,500","₦ 17,000",50%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/06/261766/1.jpg?9925,4 out of 5(5),microphones,not available
Studio Microphone Pop Filter Windscreen Mic Sound Shield,"₦ 6,500","₦ 7,800",17%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/832638/1.jpg?2447,3 out of 5(1),microphones,not available
4 In 1 Adjustable Microphone Isolation Shield/Vocal Booth,"₦ 35,700","₦ 78,000",54%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/617907/1.jpg?4063,4.6 out of 5(24),microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 9,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/4203821/1.jpg?4530,4 out of 5(1),microphones,not available
Yamaha Wireless Microphone With 2 Mics,"₦ 29,900","₦ 35,000",15%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/512776/1.jpg?6774,not available,microphones,not available
Yamaha VHF Wireless Microphone With 2 Mic - YM288,"₦ 29,999","₦ 39,000",23%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/228976/1.jpg?1793,4 out of 5(1),microphones,not available
Boya Lapel Microphone Lavalier For Smartphones DSLR PC Camcorders,"₦ 9,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/3146111/1.jpg?1073,not available,microphones,not available
Neewer NW-700 Professional Studio Broadcasting & Recording Condenser Microphone With Shock Mount,"₦ 26,202","₦ 30,000",13%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/556236/1.jpg?4703,2.3 out of 5(3),microphones,not available
"Professional Adjustable Desk Recording Microphone Stand With Phone Holder,Pop Filter.","₦ 13,500","₦ 15,600",13%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/189293/1.jpg?6808,4.1 out of 5(26),microphones,not available
Portable Handheld Wireless Bluetooth Microphone,"₦ 6,999",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/518668/1.jpg?4601,5 out of 5(1),microphones,not available
Boya Lapel Microphone Lavalier For Smartphones PC Camcorders DSLR,"₦ 9,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/1936111/1.jpg?0925,5 out of 5(1),microphones,not available
Behringer C1 Studio Condenser Microphone,"₦ 94,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/6385351/1.jpg?3244,not available,microphones,not available
Wireless Cell Phone Microphone K8 Wireless Lavalier Android Phone,"₦ 6,664","₦ 11,995",44%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/6536662/1.jpg?8654,4 out of 5(1),microphones,not available
Boya Lapel Microphone Lavalier For Smartphones DSLR PC Camcorders,"₦ 10,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/0453352/1.jpg?4866,not available,microphones,Express Shipping
Sony Dynamic Sony  Weird And Wireless Microphone,"₦ 7,500","₦ 18,500",59%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/492756/1.jpg?2482,not available,microphones,not available
Table Microphone Stand / Desktop Mic Stand With Round Base,"₦ 13,999","₦ 15,500",10%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/675966/1.jpg?4426,5 out of 5(1),microphones,not available
Professional Broadcasting Studio Recording Condenser,"₦ 40,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/870977/1.jpg?4335,5 out of 5(1),microphones,not available
"K8 Wireless Lavalier Microphone for TikTok Vlog YouTube, Facebook Live","₦ 8,763","₦ 12,319",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/1652462/1.jpg?8576,not available,microphones,not available
Studio Microphone Pop Filter Windscreen Mic Sound Shield,"₦ 15,000","₦ 18,000",17%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/984289/1.jpg?0382,not available,microphones,not available
4 In 1 Professional 4-Channel Handheld Wireless Microphone System - SM 9090,"₦ 124,500","₦ 139,000",10%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/731691/1.jpg?3600,4.6 out of 5(8),microphones,not available
Studio Microphone  Filter Windscreen Mic Mask Shield,"₦ 7,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/9514251/1.jpg?8329,not available,microphones,not available
K8 wireless lavalier microphone is suitable for TYPE-C Android mobile phones,"₦ 8,636","₦ 12,192",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/1262462/1.jpg?9580,not available,microphones,not available
Universal Mobile Phone Dustproof Net Stickers Speaker Mesh Anti Dust Adhesive Sticker for Phone Speaker,"₦ 2,845","₦ 5,690",50%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/2283102/1.jpg?2881,1 out of 5(1),microphones,not available
Desk Recording Adjustable Condenser Microphone Stand/Cantilever,"₦ 6,700",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/044966/1.jpg?7324,4.5 out of 5(2),microphones,not available
K8 wireless lavalier microphone is suitable for TYPE-C Android mobile phones,"₦ 8,636","₦ 12,192",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/5072462/1.jpg?0599,not available,microphones,not available
Samsung Uni-Directional Tie-Clip Microphone System,"₦ 7,500","₦ 15,500",52%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/124706/1.jpg?0845,5 out of 5(1),microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 8,500","₦ 17,500",51%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/361766/1.jpg?1005,not available,microphones,not available
Shure SM58 Legendary Cardioid Dynamic Vocal Microphone,"₦ 11,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/3414251/1.jpg?1867,not available,microphones,not available
Plug and Play Clip-on Wireless Microphones 20M Omnidirectional Recording,"₦ 27,051 - ₦ 32,385",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/53/7904032/1.jpg?1734,not available,microphones,not available
Omax DH-744 Wireless Microphone System With 2 Mics,"₦ 40,000","₦ 55,000",27%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/128966/1.jpg?5230,not available,microphones,not available
Lightweight Headworn Headset Microphone Condenser Mic 4-pin,"₦ 7,520","₦ 12,040",38%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/331958/1.jpg?9876,5 out of 5(1),microphones,not available
Shure Professional Long Distance Wireless Microphone System With Dual Handheld Microphone,"₦ 127,000","₦ 134,000",5%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/30/3198101/1.jpg?8329,not available,microphones,not available
Shure BLX288 / SM58 Dual Channel Handheld Wireless System,"₦ 234,000","₦ 278,000",16%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/82/1965931/1.jpg?1733,not available,microphones,not available
Suitable for Type-c port Android mobile phone wireless lavalier microphone k8,"₦ 9,017","₦ 12,573",28%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/3852462/1.jpg?8912,not available,microphones,not available
Yamaha Microphone With Cable,"₦ 7,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/98/1607731/1.jpg?8943,not available,microphones,not available
K8 wireless lavalier microphone is suitable for TYPE-C Android mobile phones,"₦ 8,636","₦ 12,192",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/2322462/1.jpg?1944,not available,microphones,not available
"Neck Handling ,portable Rechargeable Fan","₦ 7,999","₦ 9,000",11%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/0947941/1.jpg?4105,4.5 out of 5(2),electronic cables,not available
Super OBD2 Car Chip Tuning Box Plug and Drive SuperOBD2 More Power / More Torque As Nitro OBD2 Chip Tuning NitroOBD2 Chip Tuning Suitable for gasoline vehicles,"₦ 2,731","₦ 4,686",42%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/2121791/1.jpg?3774,4 out of 5(1),electronic cables,not available
1.5 Meters HDMI To HDMI Cable,"₦ 1,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/457463/1.jpg?7076,5 out of 5(1),electronic cables,not available
High Speed SVGA CABLES 1.5M,"₦ 3,000","₦ 5,000",40%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/492965/1.jpg?6205,4.1 out of 5(10),electronic cables,not available
Tornado Non-Stick Cookware Set - 5 Cooking Pots With Fry Pan,"₦ 89,000","₦ 110,000",19%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/0130851/1.jpg?6440,3 out of 5(1),electronic cables,not available
HDMI Cable 50 Metres 4k,"₦ 54,000","₦ 65,000",17%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/887965/1.jpg?7625,not available,electronic cables,not available
Portable Electronic Cooling And Warming Refrigerator Fridge/Warmer 7.5L,"₦ 36,999","₦ 39,000",5%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/051334/1.jpg?6852,not available,electronic cables,not available
Adjustable CCTV Security 360° Bulb Wireless Wifi IP Panoramic Camera,"₦ 25,000","₦ 28,000",11%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/512486/1.jpg?4184,4.4 out of 5(11),electronic cables,not available
Jc Tech CAT.6 NETWORK PATCH CABLE 2M,"₦ 3,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/855401/1.jpg?2058,not available,electronic cables,not available
VGA  TO VGA CABLE,"₦ 14,000","₦ 18,000",22%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/882756/1.jpg?7186,4.7 out of 5(3),electronic cables,not available
HDMI To HDMI Flat Cable - 1.5M,"₦ 1,980",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/711324/1.jpg?8238,5 out of 5(1),electronic cables,not available
24hrs Foundation Primer And Eyebrow & Eyeliner Gel(Black & Brown),"₦ 5,990",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/397411/1.jpg?0944,4.1 out of 5(23),electronic cables,not available
Mini Cctv IP Camera Clock 1080P Alarm Motion Detection WiFi,"₦ 45,000","₦ 80,000",44%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/951618/1.jpg?4846,5 out of 5(1),electronic cables,not available
30M VGA  TO VGA CABLE,"₦ 13,000","₦ 18,000",28%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/4772451/1.jpg?2641,not available,electronic cables,not available
CCTV Camera RG59 Power Coaxial Cable - 300M,"₦ 58,000","₦ 87,000",33%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/8094462/1.jpg?5507,not available,electronic cables,not available
Vacuum HOT WATER Flask (1 Litres),"₦ 11,999","₦ 16,000",25%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/181857/1.jpg?6409,not available,electronic cables,not available
Tester 4.3 Inch TFT LCD HD CCTV AHD Tester Analog Camera UTP Cable PTZ 12V EU EU,"₦ 89,999","₦ 170,000",47%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/1763031/1.jpg?9978,5 out of 5(1),electronic cables,not available
Outdoor WiFi 3MP IP Camera Solar Power Energy Battery Security Bullet CCTV PIR P2P Wireless,"₦ 65,000","₦ 80,000",19%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/758938/1.jpg?1786,5 out of 5(1),electronic cables,not available
10 Inch 26cm Fill Light Bracket LED Ring Light Tripod,"₦ 9,550","₦ 20,000",52%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/1657301/1.jpg?7503,3.6 out of 5(7),camera photo accessories,not available
Solar Crimping Tools Kit /Wire Striper For 2.5/4.0/6.0mm² MC3 MC4 Solar Panel PV Cable,"₦ 16,700","₦ 21,000",20%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/7296521/1.jpg?1787,1 out of 5(1),electronic cables,not available
Wooden Director's Film Movie Slate Board Clapper Board,"₦ 7,500","₦ 11,200",33%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/798775/1.jpg?7250,4.4 out of 5(26),camera photo accessories,not available
Strong Phone And Camera Tripod Stand,"₦ 31,800","₦ 100,000",68%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/3595411/1.jpg?4953,5 out of 5(1),camera photo accessories,not available
Puluz Upgrade Light Room Photography Box For Product Shooting,"₦ 8,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/982912/1.jpg?7399,4.1 out of 5(28),camera photo accessories,not available
Godox TT520 II Speedlite Flash + Trigger,"₦ 52,000","₦ 100,000",48%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/5703321/1.jpg?0318,5 out of 5(1),camera photo accessories,not available
Century Quality 1000W Stablizer - Color: N/a,"₦ 41,999","₦ 50,000",16%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/532317/1.jpg?0864,4.6 out of 5(5),camera photo accessories,not available
Neewer 2 Packs Dimmable 5600K USB Camera LED Video Light W/ Adjustable Tripod Stand Color Filters,"₦ 41,558","₦ 50,000",17%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/556236/1.jpg?4708,4.3 out of 5(14),camera photo accessories,not available
Finnary 64GB Memory Card A1 Memory Card 64gb With Adapter,"₦ 8,990","₦ 9,500",5%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/896718/1.jpg?9656,5 out of 5(3),camera photo accessories,not available
Flexible Universal Selfie Ring Light With Mobile Phone Holder  Desk Lamp LED Light For Live Stream,"₦ 7,600",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/029108/1.jpg?6683,3.7 out of 5(7),camera photo accessories,not available
Finnarry 64GB 64GB Memory Card A1 Memory Card 64gb With Adapter,"₦ 8,990","₦ 9,000",1%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/32/8961101/1.jpg?7415,4.1 out of 5(7),camera photo accessories,not available
Adjustable  Tripod Light Stand Steel Material For Photo Euipment,"₦ 12,000","₦ 15,000",20%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/9242601/1.jpg?3304,4.7 out of 5(3),camera photo accessories,not available
Cctv Power Supply Box DC 12V.,"₦ 12,900 - ₦ 19,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/382381/1.jpg?3917,3.7 out of 5(6),camera photo accessories,not available
10 Inches 26cm Fill Light Bracket LED Ring Light,"₦ 9,980",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/4256402/1.jpg?5065,1 out of 5(1),camera photo accessories,not available
Qasa Wall Mount Stabilizer. Model AVR Pro 1.5HP,"₦ 58,999","₦ 70,000",16%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/55/315185/1.jpg?6065,4.8 out of 5(5),camera photo accessories,not available
Phone Adjustable Tripod Stand Holder Clip Set - Silver,"₦ 8,399","₦ 15,100",44%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/478617/1.jpg?5543,3.3 out of 5(4),camera photo accessories,not available
"TOP QUALITY 2Meters Light Stand For Reflectors,Softbox Projectors,Spotlights,Umbrellas/ Photo Studio Backdrops.","₦ 8,999","₦ 12,300",27%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/922728/1.jpg?4344,5 out of 5(1),camera photo accessories,not available
Century 2000VA AUTOMATIC VOLTAGE REGULATOR STABILIZER - Red/Blue,"₦ 62,999","₦ 75,000",16%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/79/249795/1.jpg?5851,5 out of 5(1),camera photo accessories,not available
Stylish Camera-Tripod 3120A With Mobile Clip Holder,"₦ 10,500","₦ 16,000",34%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/726297/1.jpg?4367,3 out of 5(1),camera photo accessories,not available
"Professional Video Camera Light , Battery And Charger","₦ 30,000","₦ 40,000",25%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/087028/1.jpg?0164,not available,camera photo accessories,not available
Video  CAMERA Light YN 216,"₦ 65,000","₦ 75,000",13%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/478965/1.jpg?9494,5 out of 5(1),camera photo accessories,not available
SML Professional SML LED LIGHT 416,"₦ 30,000","₦ 60,000",50%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/20/2039162/1.jpg?0514,not available,camera photo accessories,not available
Kingjoy VT-1500 Professional Tripod For DSLR And Video Camera,"₦ 41,550","₦ 45,650",9%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/9395212/1.jpg?5145,not available,camera photo accessories,not available
Finnary 64GB Memory Card A1 Memory Card 64gb With Adapter,"₦ 8,980","₦ 10,500",14%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/5961101/1.jpg?7152,3.7 out of 5(3),camera photo accessories,not available
VideoStudio Standard Professional Video Light,"₦ 33,000","₦ 100,000",67%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/7076901/1.jpg?0783,1 out of 5(1),camera photo accessories,not available
White Portable Light Studio Box Photography Box,"₦ 8,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/354636/1.jpg?4420,3.8 out of 5(5),camera photo accessories,not available
Professional Live Stream With Cell Phone Selfie Holder.,"₦ 8,000","₦ 10,000",20%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/96/924126/1.jpg?0090,4.6 out of 5(61),camera photo accessories,not available
Selfie Ring Light With Cell Phone Holder,"₦ 8,000","₦ 10,000",20%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/89/267946/1.jpg?4973,4.4 out of 5(8),camera photo accessories,not available
Professional Camera Video Light LED-5080,"₦ 33,000","₦ 100,000",67%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/336887/1.jpg?0787,not available,camera photo accessories,not available
3 In 1 Selfie Ring Light With Flexible Mobile Phone Holder,"₦ 15,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/531626/1.jpg?1704,not available,camera photo accessories,not available
Century Century Century Automatic Voltage Stabilizer- 5000VA,"₦ 115,500","₦ 125,000",8%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/40/3016202/1.jpg?4210,4 out of 5(1),camera photo accessories,not available
"Light Box Studio Photo, Photography Shooting Light Tent","₦ 8,999",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/746616/1.jpg?2909,3.9 out of 5(75),camera photo accessories,not available
Enhanced  Vct 5208 Mobile Phone Camera+Tripod Stand For Camera And Phone.,"₦ 15,000","₦ 30,000",50%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/4762111/1.jpg?1687,3.9 out of 5(17),camera photo accessories,not available
OR 5.0MP Kids Children Digital Camera 1.5 Inch LCD Screen Cute Design Mini-Blue,"₦ 13,620","₦ 20,430",33%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/590091/1.jpg?1997,3 out of 5(1),camera photo accessories,not available
Reliable Tripod Stand For Phones And Camera,"₦ 15,900","₦ 30,000",47%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/5273621/1.jpg?9726,not available,camera photo accessories,not available
Professional Camera Tripod And Smart Phone Stand,"₦ 31,900","₦ 35,000",9%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/106468/1.jpg?2788,3 out of 5(2),camera photo accessories,not available
8-Way CCTV Camera Power Adapter Supply Splitter[5Pieces],"₦ 12,999","₦ 13,000",1%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/403495/1.jpg?1005,not available,camera photo accessories,not available
Yongnuo 580EX Flash Speedlight Bounce Head Soft Box Case Diffuser,"₦ 2,920","₦ 5,840",50%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/43/787793/1.jpg?9714,5 out of 5(1),camera photo accessories,not available
Rechargable Cellphone LED Mini Selfie Ring Light For All Smart Phones And Tablets-White,"₦ 3,850","₦ 5,000",23%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/930931/1.jpg?3044,3.3 out of 5(11),camera photo accessories,not available
Led Laser Party Light Projector Led Stage Mini Auto Flash RGB Sund Activated Disco DJ Party,"₦ 14,000","₦ 18,000",22%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/02/376138/1.jpg?4667,4 out of 5(2),camera photo accessories,not available
Neewer 160 LED CN-160 Dimmable Ultra High Power Panel Digital Camera Camcorder Video LED Light,"₦ 27,222","₦ 32,000",15%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/556236/1.jpg?4700,not available,camera photo accessories,not available
Portable Electronic Cooling & Warming Refrigerator 7.5L,"₦ 29,999","₦ 37,000",19%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/081196/1.jpg?7764,3 out of 5(1),electronic cables,not available
30M VGA CABLES,"₦ 12,999","₦ 13,000",1%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/0767941/1.jpg?1454,not available,electronic cables,not available
4 Pcs Male Jack To 2 Dual RCA Female Plug AV Connector,"₦ 2,800",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/450734/1.jpg?4529,5 out of 5(1),electronic cables,not available
915 Generation New OBD OBD2 Extension Cable Connector for Launch X431,"₦ 12,272","₦ 21,479",43%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/7124332/1.jpg?8830,not available,electronic cables,not available
VGA  TO VGA CABLE,"₦ 5,500 - ₦ 10,999",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/756996/1.jpg?9127,not available,electronic cables,not available
CCTV Camera RG59 & Power Pro Coaxial Cable-300M,"₦ 60,000","₦ 80,000",25%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/0038891/1.jpg?3284,not available,electronic cables,not available
16 Amps AC Power Adapter Cords For Desktop And Electric Kettle,"₦ 2,375","₦ 12,000",80%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/45/6972251/1.jpg?8282,5 out of 5(1),electronic cables,not available
Portable Electronic Cooling & Warming Refrigerator 7.5L,"₦ 29,500","₦ 39,000",24%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/904317/1.jpg?4789,5 out of 5(1),electronic cables,not available
CD/DVD Duplicator Machine (1-7)Loader,"₦ 245,000","₦ 260,000",6%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/1461171/1.jpg?3066,5 out of 5(1),electronic cables,not available
"2 Pin Desktop Computer And Electric Kettle Power Cord. 3m,","₦ 2,500","₦ 7,000",64%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/75/552389/1.jpg?9744,5 out of 5(1),electronic cables,not available
Easy Capture USB 2.0 Video Adapter With Audio,"₦ 6,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/774044/1.jpg?5278,not available,electronic cables,not available
Outdoor WiFi 3MP IP Camera Solar Power Energy Battery Security Bullet CCTV PIR P2P Wireless,"₦ 70,000","₦ 71,000",1%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/0326491/1.jpg?0643,not available,electronic cables,not available
Portable Electronic Cooling And Warming Refrigerator  7.5L,"₦ 38,900","₦ 49,000",21%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/051334/1.jpg?7295,not available,electronic cables,not available
Outdoor WiFi 3MP IP Camera Solar Power Energy Battery Security Bullet CCTV PIR P2P Wireless,"₦ 50,000","₦ 70,000",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/6357811/1.jpg?2178,not available,electronic cables,not available
Ring Light And Tripod Stand Plus Green Screen,"₦ 14,000","₦ 34,000",59%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/1113732/1.jpg?4220,not available,electronic cables,not available
"Garmin GPSMAP 79sc,Marine GPS Handheld Preloaded W BlueChart G3","₦ 300,000","₦ 301,000",1%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/8714062/1.jpg?7307,not available,electronic cables,not available
Kiss Beauty 24hrs Foundation Primer And Eyebrow & Eyeliner Gel(Black & Brown),"₦ 7,599",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/36/755607/1.jpg?1405,4.5 out of 5(2),electronic cables,not available
Outdoor WiFi 3MP IP Camera Solar Power Energy Security Bullet CCTV PIR P2P Wireless [2pieces],"₦ 120,000","₦ 170,000",29%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/0829702/1.jpg?5904,not available,electronic cables,not available
Outdoor WiFi 3MP IP Camera Solar Power Energy Battery Security Bullet CCTV PIR P2P Wireless,"₦ 70,000","₦ 71,000",1%,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/9226491/1.jpg?0645,not available,electronic cables,not available
VGA TO VGA CABLE,"₦ 2,500 - ₦ 9,500",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/3524621/1.jpg?2417,not available,electronic cables,not available
Portable Electronic Cooling & Warming Refrigerator 7.5L,"₦ 28,000",not available,not available,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/215576/1.jpg?7774,not available,electronic cables,not available
